Bicicletta;Tipo_bici;Cliente;Data_riferimento_prelievo;Data_prelievo;Ora_prelievo;Giorno_prelievo;Mese_prelievo;Anno_prelievo;GMA_prelievo;Gio_settimana_prelievo;Festivo_feriale_prelievo;Fascia_oraria_prelievo;Stazione_prelievo;Nome_stazione_prelievo;Slot_prelievo;Data_riferimento_arrivo;Data_arrivo;Ora_arrivo;Giorno_arrivo;Mese_arrivo;Anno_arrivo;GMA_arrivo;Gio_settimana_arrivo;Festivo_feriale_arrivo;Fascia_oraria_arrivo;Stazione_arrivo;Nome_stazione_arrivo;Slot_arrivo;Durata_noleggio;Durata_sec;Distanza_totale;Co2_evitata;Calorie_consumate;Temp_min_GP;Temp_max_GP;Temp_media_GP;Precipitazioni_GP;Press_atm_GP;Temp_min_GA;Temp_max_GA;Temp_media_GA;Precipitazioni_GA;Press_atm_GA;Pm10_GP;Pm25_GP;No2_mean_GP;Co_mean_GP;Pm10_GA;Pm25_GA;No2_mean_GA;Co_mean_GA
7486;Bike;141116;01/01/18;01/01/18 07:18;7;1;1;2018;112018;2;1;8;110;S. F. Romana;5;01/01/18;01/01/18 07:24;7;1;1;2018;112018;2;1;8;207;Loreto 1;26;00:06:53;413;1437.86;0.2916;27.7;2;5;3;Yes;1012;2;5;3;Yes;1012;39;38;40.1;0.9;39;38;40.1;0.9
8279;Bike;265468;01/01/18;01/01/18 07:35;7;1;1;2018;112018;2;1;8;38;XXIV Maggio;14;01/01/18;01/01/18 07:39;7;1;1;2018;112018;2;1;8;15;Cantore;18;00:04:00;240;852.19;0.1728;16.42;2;5;3;Yes;1012;2;5;3;Yes;1012;39;38;40.1;0.9;39;38;40.1;0.9
1284;Bike;232605;01/01/18;01/01/18 07:49;7;1;1;2018;112018;2;1;8;229;QT8 - Isernia;3;01/01/18;01/01/18 08:05;8;1;1;2018;112018;2;1;9;170;S.M. del Carso;30;00:16:18;978;3904.73;0.7919;75.21;2;5;3;Yes;1012;2;5;3;Yes;1012;39;38;40.1;0.9;39;38;40.1;0.9
7411;Bike;21489;01/01/18;01/01/18 07:56;7;1;1;2018;112018;2;1;8;183;Domodossola FNM - Filelfo;3;01/01/18;01/01/18 08:06;8;1;1;2018;112018;2;1;9;144;Brescia;18;00:09:31;571;2189.38;0.444;42.17;2;5;3;Yes;1012;2;5;3;Yes;1012;39;38;40.1;0.9;39;38;40.1;0.9
1730;Bike;220370;01/01/18;01/01/18 07:58;7;1;1;2018;112018;2;1;8;161;Coni Zugna Solari;30;01/01/18;01/01/18 08:09;8;1;1;2018;112018;2;1;9;172;Napoli - Washington;33;00:10:57;657;1506.94;0.3056;29.03;2;5;3;Yes;1012;2;5;3;Yes;1012;39;38;40.1;0.9;39;38;40.1;0.9
6133;Bike;235367;01/01/18;01/01/18 08:02;8;1;1;2018;112018;2;1;9;313;Ca' Granda - F. Testi;20;01/01/18;01/01/18 08:07;8;1;1;2018;112018;2;1;9;315;Ospedale Maggiore;7;00:04:05;245;1214.6;0.2463;23.4;2;5;3;Yes;1012;2;5;3;Yes;1012;39;38;40.1;0.9;39;38;40.1;0.9
8115;Bike;351951;01/01/18;01/01/18 08:05;8;1;1;2018;112018;2;1;9;102;Arcivescovado;6;01/01/18;01/01/18 08:12;8;1;1;2018;112018;2;1;9;34;Cairoli;4;00:06:52;412;1271.15;0.2578;24.49;2;5;3;Yes;1012;2;5;3;Yes;1012;39;38;40.1;0.9;39;38;40.1;0.9
8619;Bike;334937;01/01/18;01/01/18 08:09;8;1;1;2018;112018;2;1;9;46;Porta Nuova;2;01/01/18;01/01/18 08:21;8;1;1;2018;112018;2;1;9;203;Taramelli RL;36;00:11:56;716;1194.13;0.2422;23;2;5;3;Yes;1012;2;5;3;Yes;1012;39;38;40.1;0.9;39;38;40.1;0.9
7509;Bike;32096;01/01/18;01/01/18 08:12;8;1;1;2018;112018;2;1;9;143;Lodi - Papi;4;01/01/18;01/01/18 08:26;8;1;1;2018;112018;2;1;9;102;Arcivescovado;6;00:14:20;860;2149.1;0.4358;41.4;2;5;3;Yes;1012;2;5;3;Yes;1012;39;38;40.1;0.9;39;38;40.1;0.9
1590;Bike;227255;01/01/18;01/01/18 08:15;8;1;1;2018;112018;2;1;9;26;Centrale 2;16;01/01/18;01/01/18 08:26;8;1;1;2018;112018;2;1;9;256;Lancetti Passante - Maloja;12;00:10:28;628;3308.16;0.6709;63.72;2;5;3;Yes;1012;2;5;3;Yes;1012;39;38;40.1;0.9;39;38;40.1;0.9
10279;eBike;246086;01/01/18;01/01/18 08:20;8;1;1;2018;112018;2;1;9;208;Brianza - Venini;34;01/01/18;01/01/18 08:41;8;1;1;2018;112018;2;1;9;162;Piola;14;00:20:35;1235;1569.08;0.3182;30.22;2;5;3;Yes;1012;2;5;3;Yes;1012;39;38;40.1;0.9;39;38;40.1;0.9
1300;Bike;256877;01/01/18;01/01/18 08:21;8;1;1;2018;112018;2;1;9;283;Reni - Guardi;15;01/01/18;01/01/18 08:34;8;1;1;2018;112018;2;1;9;14;San Barnaba H Mangiagalli;5;00:12:03;723;3290.92;0.6674;63.39;2;5;3;Yes;1012;2;5;3;Yes;1012;39;38;40.1;0.9;39;38;40.1;0.9
1904;Bike;182612;01/01/18;01/01/18 08:30;8;1;1;2018;112018;2;1;9;319;Gioia - Cagliero;4;01/01/18;01/01/18 09:10;9;1;1;2018;112018;2;1;10;238;Govone - Borgese;7;00:39:55;2395;4177.02;0.8471;80.46;2;5;3;Yes;1012;2;5;3;Yes;1012;39;38;40.1;0.9;39;38;40.1;0.9
7330;Bike;168258;01/01/18;01/01/18 08:43;8;1;1;2018;112018;2;1;9;33;Triennale;3;01/01/18;01/01/18 08:59;8;1;1;2018;112018;2;1;9;125;Fratelli Bandiera;3;00:16:04;964;4099.83;0.8314;78.97;2;5;3;Yes;1012;2;5;3;Yes;1012;39;38;40.1;0.9;39;38;40.1;0.9
7571;Bike;221859;01/01/18;01/01/18 08:43;8;1;1;2018;112018;2;1;9;85;D'Ancona;6;01/01/18;01/01/18 08:52;8;1;1;2018;112018;2;1;9;171;Elba - Cimarosa;23;00:08:34;514;2068.11;0.4194;39.84;2;5;3;Yes;1012;2;5;3;Yes;1012;39;38;40.1;0.9;39;38;40.1;0.9
6732;Bike;224621;01/01/18;01/01/18 08:44;8;1;1;2018;112018;2;1;9;172;Napoli - Washington;30;01/01/18;01/01/18 08:52;8;1;1;2018;112018;2;1;9;173;Vercelli - Cherubini;1;00:07:59;479;1448.35;0.2937;27.9;2;5;3;Yes;1012;2;5;3;Yes;1012;39;38;40.1;0.9;39;38;40.1;0.9
