sourceName,sourceVersion,device,creationDate,startDate,endDate,workoutActivityType,duration,durationUnit,totalDistance,totalDistanceUnit,totalEnergyBurned,totalEnergyBurnedUnit
"Strava","18214",,2019-09-04 16:35:52 +0100,2019-09-04 14:52:44 +0100,2019-09-04 15:29:27 +0100,"HKWorkoutActivityTypeRunning",31.93333333333333,"min",6.7961,"km",0,"kcal"
"Strava","18214",,2019-09-05 20:34:06 +0100,2019-09-05 16:29:52 +0100,2019-09-05 17:02:09 +0100,"HKWorkoutActivityTypeRunning",31.78333333333333,"min",6.785699999999999,"km",0,"kcal"
"Filips Apple Watch","5.3","<<HKDevice: 0x282f7c640>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:5.3>",2019-09-05 19:01:44 +0100,2019-09-05 18:36:01 +0100,2019-09-05 19:01:42 +0100,"HKWorkoutActivityTypeWalking",25.69034866293271,"min",1.860365468358655,"km",99.05143948942589,"kcal"
"Filips Apple Watch","5.3","<<HKDevice: 0x282f7c780>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:5.3>",2019-09-05 22:28:10 +0100,2019-09-05 22:12:09 +0100,2019-09-05 22:28:09 +0100,"HKWorkoutActivityTypeWalking",15.99918499588966,"min",1.365804578264935,"km",69.91318779919354,"kcal"
"Filips Apple Watch","5.3","<<HKDevice: 0x282f7c8c0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:5.3>",2019-09-06 09:39:43 +0100,2019-09-06 09:01:23 +0100,2019-09-06 09:39:38 +0100,"HKWorkoutActivityTypeWalking",38.24934368133545,"min",2.929446867265822,"km",146.90300759638,"kcal"
"Filips Apple Watch","5.3","<<HKDevice: 0x282f7ca00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:5.3>",2019-09-06 12:01:01 +0100,2019-09-06 11:41:40 +0100,2019-09-06 12:00:58 +0100,"HKWorkoutActivityTypeWalking",19.30416038235029,"min",1.555522160103271,"km",77.12953446693015,"kcal"
"Filips Apple Watch","5.3","<<HKDevice: 0x282f7cb40>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:5.3>",2019-09-06 12:45:45 +0100,2019-09-06 12:35:58 +0100,2019-09-06 12:45:44 +0100,"HKWorkoutActivityTypeWalking",1.284921634197235,"min",0.1063485770518091,"km",5.55987126764024,"kcal"
"Filips Apple Watch","5.3","<<HKDevice: 0x282f7ccd0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:5.3>",2019-09-06 20:26:47 +0100,2019-09-06 20:01:59 +0100,2019-09-06 20:26:45 +0100,"HKWorkoutActivityTypeWalking",24.77632954716682,"min",1.916913724200965,"km",93.28459428992696,"kcal"
"Filips Apple Watch","5.3","<<HKDevice: 0x282f7ce10>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:5.3>",2019-09-07 01:02:42 +0100,2019-09-07 00:27:38 +0100,2019-09-07 01:02:39 +0100,"HKWorkoutActivityTypeWalking",35.00867291887601,"min",1.045494864337335,"km",69.05773126484688,"kcal"
"Strava","18214",,2019-09-08 16:11:10 +0100,2019-09-08 15:00:43 +0100,2019-09-08 15:47:33 +0100,"HKWorkoutActivityTypeRunning",46.68333333333333,"min",10.0955,"km",0,"kcal"
